0.78, 0.02, 0.14, 1.57, -0.03, -0.04
0.79, 0.00, 0.03, 1.52, -0.04, -0.06
0.79, -0.01, -0.07, 1.52, -0.05, -0.08
0.79, -0.02, -0.16, 1.50, -0.06, -0.10
0.79, -0.03, -0.24, 1.47, -0.08, -0.13
0.80, -0.04, -0.30, 1.48, -0.09, -0.16
0.81, -0.04, -0.34, 1.44, -0.11, -0.19
0.81, -0.05, -0.37, 1.44, -0.12, -0.21
0.81, -0.05, -0.39, 1.43, -0.14, -0.23
0.81, -0.05, -0.39, 1.41, -0.15, -0.25
0.81, -0.05, -0.38, 1.42, -0.15, -0.26
0.80, -0.04, -0.35, 1.39, -0.16, -0.27
0.80, -0.04, -0.31, 1.40, -0.16, -0.27
0.79, -0.03, -0.27, 1.39, -0.16, -0.27
0.79, -0.03, -0.22, 1.38, -0.16, -0.27
0.78, -0.02, -0.17, 1.40, -0.16, -0.26
0.76, -0.01, -0.11, 1.37, -0.15, -0.25
0.75, -0.01, -0.06, 1.38, -0.14, -0.24
0.73, -0.00, -0.01, 1.38, -0.13, -0.23
0.72, 0.01, 0.04, 1.37, -0.13, -0.21
0.72, 0.01, 0.09, 1.39, -0.12, -0.20
0.72, 0.02, 0.12, 1.37, -0.11, -0.18
0.72, 0.02, 0.16, 1.38, -0.10, -0.16
0.72, 0.02, 0.18, 1.37, -0.09, -0.14
0.72, 0.02, 0.19, 1.36, -0.08, -0.13
0.71, 0.02, 0.20, 1.38, -0.07, -0.11
0.68, 0.02, 0.19, 1.36, -0.06, -0.10
0.62, 0.02, 0.18, 1.37, -0.05, -0.08
0.53, 0.02, 0.15, 1.37, -0.04, -0.07
0.44, 0.01, 0.12, 1.38, -0.03, -0.06
0.39, 0.01, 0.08, 1.43, -0.03, -0.04
0.40, 0.00, 0.04, 1.46, -0.02, -0.03
0.48, -0.00, -0.01, 1.55, -0.01, -0.01
0.58, -0.01, -0.07, 1.62, 0.01, 0.01
0.68, -0.02, -0.13, 1.70, 0.03, 0.05
0.76, -0.02, -0.20, 1.81, 0.06, 0.10
0.82, -0.03, -0.28, 1.88, 0.09, 0.16
0.85, -0.05, -0.37, 1.92, 0.14, 0.24
0.86, -0.06, -0.46, 1.99, 0.19, 0.32
0.86, -0.07, -0.56, 2.05, 0.25, 0.42
0.87, -0.08, -0.66, 2.11, 0.30, 0.51
0.88, -0.09, -0.75, 2.14, 0.36, 0.60
0.89, -0.10, -0.83, 2.17, 0.40, 0.67
0.89, -0.11, -0.90, 2.18, 0.43, 0.73
0.89, -0.12, -0.94, 2.19, 0.46, 0.77
0.89, -0.12, -0.95, 2.19, 0.47, 0.78
0.89, -0.12, -0.94, 2.18, 0.47, 0.78
0.89, -0.11, -0.89, 2.17, 0.45, 0.76
0.90, -0.10, -0.81, 2.15, 0.43, 0.72
0.90, -0.09, -0.70, 2.13, 0.40, 0.66
0.88, -0.07, -0.56, 2.10, 0.35, 0.59
0.85, -0.05, -0.40, 2.07, 0.31, 0.51
0.80, -0.03, -0.23, 2.04, 0.25, 0.43
0.77, -0.01, -0.04, 2.01, 0.20, 0.33
0.76, 0.02, 0.15, 1.99, 0.14, 0.24
0.75, 0.04, 0.34, 1.96, 0.09, 0.15
0.75, 0.06, 0.52, 1.94, 0.03, 0.05
0.75, 0.08, 0.68, 1.93, -0.02, -0.03
0.75, 0.10, 0.83, 1.91, -0.07, -0.11
0.76, 0.12, 0.95, 1.89, -0.11, -0.19
0.77, 0.13, 1.04, 1.88, -0.15, -0.25
0.78, 0.14, 1.11, 1.87, -0.18, -0.30
0.78, 0.14, 1.15, 1.85, -0.21, -0.35
0.78, 0.14, 1.16, 1.84, -0.23, -0.39
0.78, 0.14, 1.13, 1.82, -0.25, -0.42
0.79, 0.13, 1.09, 1.80, -0.26, -0.44
0.80, 0.13, 1.02, 1.78, -0.28, -0.46
0.80, 0.12, 0.94, 1.75, -0.29, -0.48
0.80, 0.10, 0.84, 1.73, -0.29, -0.50
0.80, 0.09, 0.73, 1.70, -0.30, -0.51
0.80, 0.08, 0.62, 1.68, -0.31, -0.52
0.80, 0.06, 0.51, 1.65, -0.32, -0.54
0.80, 0.05, 0.40, 1.62, -0.33, -0.55
0.80, 0.04, 0.30, 1.59, -0.33, -0.56
0.79, 0.03, 0.21, 1.56, -0.34, -0.58
0.79, 0.02, 0.14, 1.54, -0.35, -0.59
0.79, 0.01, 0.07, 1.51, -0.36, -0.60
0.79, 0.00, 0.02, 1.49, -0.36, -0.61
0.79, -0.00, -0.02, 1.47, -0.37, -0.62
0.80, -0.01, -0.05, 1.45, -0.37, -0.62
0.80, -0.01, -0.06, 1.44, -0.37, -0.62
0.79, -0.01, -0.07, 1.42, -0.37, -0.62
0.78, -0.01, -0.07, 1.41, -0.36, -0.61
0.78, -0.01, -0.06, 1.40, -0.36, -0.60
0.78, -0.01, -0.05, 1.39, -0.35, -0.58
0.78, -0.00, -0.04, 1.38, -0.33, -0.56
0.78, -0.00, -0.03, 1.38, -0.32, -0.53
0.78, -0.00, -0.01, 1.37, -0.30, -0.50
0.79, -0.00, -0.00, 1.37, -0.28, -0.47
0.79, 0.00, 0.01, 1.37, -0.26, -0.43
0.80, 0.00, 0.02, 1.36, -0.24, -0.40
0.79, 0.00, 0.02, 1.36, -0.21, -0.36
0.78, 0.00, 0.03, 1.36, -0.19, -0.32
0.77, 0.00, 0.03, 1.36, -0.17, -0.28
0.77, 0.00, 0.03, 1.36, -0.14, -0.24
0.77, 0.00, 0.02, 1.36, -0.12, -0.20
0.76, 0.00, 0.01, 1.35, -0.10, -0.16
0.74, 0.00, 0.01, 1.34, -0.08, -0.13
0.73, -0.00, -0.00, 1.34, -0.06, -0.09
0.72, -0.00, -0.01, 1.33, -0.04, -0.06
0.69, -0.00, -0.02, 1.33, -0.02, -0.03
0.63, -0.00, -0.03, 1.32, -0.00, -0.01
0.53, -0.01, -0.04, 1.32, 0.01, 0.02
0.43, -0.01, -0.05, 1.34, 0.02, 0.04
0.36, -0.01, -0.07, 1.37, 0.03, 0.06
0.36, -0.01, -0.08, 1.42, 0.05, 0.08
0.43, -0.01, -0.11, 1.49, 0.06, 0.10
0.54, -0.02, -0.13, 1.57, 0.08, 0.13
0.65, -0.02, -0.17, 1.66, 0.10, 0.18
0.74, -0.03, -0.22, 1.75, 0.14, 0.23
0.80, -0.03, -0.28, 1.83, 0.18, 0.30
0.83, -0.04, -0.35, 1.91, 0.23, 0.39
0.84, -0.05, -0.44, 1.98, 0.29, 0.49
0.84, -0.07, -0.54, 2.04, 0.35, 0.59
0.84, -0.08, -0.65, 2.09, 0.41, 0.70
